"state","total_orders","delivered_orders","leaked_orders","total_revenue","leakage_rate_pct","avg_order_value"
RO,253,243,7,60866.20,2.68,233.20
RR,46,41,1,10064.62,2.17,218.80
SE,350,335,5,75246.25,1.66,208.44
SP,41746,40501,619,5998226.96,1.51,137.50
MA,747,717,11,152523.02,1.43,198.86
PR,5045,4923,62,811156.38,1.37,154.15
MG,11635,11354,139,1872257.26,1.24,154.71
RJ,12852,12350,154,2144379.69,1.19,158.53
PI,495,476,5,108523.97,1.15,207.11
GO,2020,1957,22,350092.31,1.09,165.76
BA,3380,3256,36,616645.82,1.05,170.82
SC,3637,3546,37,623086.43,1.01,165.98
MS,715,701,7,137534.84,0.95,186.87
CE,1336,1279,13,279464.03,0.93,199.90
DF,2140,2080,19,355141.08,0.91,161.13
RS,5466,5345,49,890898.54,0.90,157.18
PB,536,517,5,141545.72,0.88,248.33
ES,2033,1995,15,325967.55,0.76,154.71
PA,975,946,6,218295.85,0.69,215.92
TO,280,274,2,61485.33,0.66,204.27
AM,148,145,1,27966.93,0.65,181.60
PE,1652,1593,9,324850.44,0.58,187.99
RN,485,474,3,102718.13,0.57,196.78
MT,907,886,5,187029.29,0.52,195.23
AL,413,397,2,96962.06,0.47,227.08
AP,68,67,0,16262.80,0.00,232.33
AC,81,80,0,19680.62,0.00,234.29
